transaction_id,customer_id,product_id,quantity,unit_price,transaction_date,status
T001,C001,P001,1,45999.0,2024-01-15,Completed
T002,C002,P004,2,2999.0,2024-01-16,Completed
T005,C005,P009,3,650.0,2024-01-20,Completed
T007,C007,P005,2,1999.0,2024-01-23,Completed
T009,C009,P011,1,4599.0,2024-01-28,Cancelled
T010,C010,P006,5,899.0,2024-02-01,Completed
T012,C012,P003,1,52999.0,2024-02-05,Completed
T013,C013,P015,3,450.0,2024-02-08,Completed
T015,C015,P008,3,1299.0,2024-02-12,Completed
T017,C017,P016,1,32999.0,2024-02-18,Completed
T018,C018,P020,2,1899.0,2024-02-20,Completed
T020,C020,P010,1,45999.0,2024-02-25,Completed
T021,C021,P017,2,2999.0,2024-02-28,Completed
T022,C002,P001,1,45999.0,2024-03-01,Completed
T024,C004,P009,5,650.0,2024-03-05,Completed
T026,C006,P011,1,4599.0,2024-03-10,Completed
T028,C008,P015,4,450.0,2024-03-15,Completed
T029,C009,P007,1,52999.0,2024-03-18,Completed
T032,C012,P016,1,32999.0,2024-03-25,Completed
T033,C013,P005,2,1999.0,2024-03-28,Completed
T034,C014,P008,2,1299.0,2024-03-30,Completed
T036,C016,P014,1,69999.0,2024-04-03,Completed
T037,C017,P006,4,899.0,2024-04-05,Completed
T039,C019,P019,2,1499.0,2024-04-10,Completed
T040,C020,P013,1,5499.0,2024-04-12,Completed
